30 10
0 6 6
0 7 7
0 13 4
0 17 8
0 22 4
0 27 9
0 31 4
0 35 8
0 36 9
0 37 10
0 39 12
0 43 7
0 49 13
0 54 9
0 55 10
0 57 12
0 59 14
0 60 6
0 62 8
0 64 10
0 68 14
0 69 15
0 71 8
0 75 12
0 81 9
0 83 11
0 86 14
0 97 16
0 99 18
6 7 1
6 13 4
6 17 2
6 22 6
6 27 3
6 31 8
6 35 4
6 36 3
6 37 4
6 39 6
6 43 7
6 49 7
6 54 7
6 55 6
6 57 6
6 59 8
6 60 12
6 62 10
6 64 8
6 68 8
6 69 9
6 71 12
6 75 8
6 81 13
6 83 11
6 86 8
6 97 10
6 99 12
7 13 5
7 17 1
7 22 7
7 27 2
7 31 9
7 35 5
7 36 4
7 37 3
7 39 5
7 43 8
7 49 6
7 54 8
7 55 7
7 57 5
7 59 7
7 60 13
7 62 11
7 64 9
7 68 7
7 69 8
7 71 13
7 75 9
7 81 14
7 83 12
7 86 9
7 97 9
7 99 11
13 17 4
13 22 2
13 27 5
13 31 4
13 35 4
13 36 5
13 37 6
13 39 8
13 43 3
13 49 9
13 54 5
13 55 6
13 57 8
13 59 10
13 60 8
13 62 6
13 64 6
13 68 10
13 69 11
13 71 8
13 75 8
13 81 9
13 83 7
13 86 10
13 97 12
13 99 14
17 22 6
17 27 1
17 31 8
17 35 4
17 36 3
17 37 2
17 39 4
17 43 7
17 49 5
17 54 7
17 55 6
17 57 4
17 59 6
17 60 12
17 62 10
17 64 8
17 68 6
17 69 7
17 71 12
17 75 8
17 81 13
17 83 11
17 86 8
17 97 8
17 99 10
22 27 5
22 31 2
22 35 4
22 36 5
22 37 6
22 39 8
22 43 3
22 49 9
22 54 5
22 55 6
22 57 8
22 59 10
22 60 6
22 62 4
22 64 6
22 68 10
22 69 11
22 71 6
22 75 8
22 81 7
22 83 7
22 86 10
22 97 12
22 99 14
27 31 7
27 35 3
27 36 2
27 37 1
27 39 3
27 43 6
27 49 4
27 54 6
27 55 5
27 57 3
27 59 5
27 60 11
27 62 9
27 64 7
27 68 5
27 69 6
27 71 11
27 75 7
27 81 12
27 83 10
27 86 7
27 97 7
27 99 9
31 35 4
31 36 5
31 37 6
31 39 8
31 43 3
31 49 9
31 54 5
31 55 6
31 57 8
31 59 10
31 60 4
31 62 4
31 64 6
31 68 10
31 69 11
31 71 4
31 75 8
31 81 5
31 83 7
31 86 10
31 97 12
31 99 14
35 36 1
35 37 2
35 39 4
35 43 3
35 49 5
35 54 3
35 55 2
35 57 4
35 59 6
35 60 8
35 62 6
35 64 4
35 68 6
35 69 7
35 71 8
35 75 4
35 81 9
35 83 7
35 86 6
35 97 8
35 99 10
36 37 1
36 39 3
36 43 4
36 49 4
36 54 4
36 55 3
36 57 3
36 59 5
36 60 9
36 62 7
36 64 5
36 68 5
36 69 6
36 71 9
36 75 5
36 81 10
36 83 8
36 86 5
36 97 7
36 99 9
37 39 2
37 43 5
37 49 3
37 54 5
37 55 4
37 57 2
37 59 4
37 60 10
37 62 8
37 64 6
37 68 4
37 69 5
37 71 10
37 75 6
37 81 11
37 83 9
37 86 6
37 97 6
37 99 8
39 43 7
39 49 1
39 54 7
39 55 6
39 57 4
39 59 2
39 60 12
39 62 10
39 64 8
39 68 4
39 69 3
39 71 12
39 75 8
39 81 13
39 83 11
39 86 8
39 97 8
39 99 6
43 49 6
43 54 2
43 55 3
43 57 5
43 59 7
43 60 5
43 62 3
43 64 3
43 68 7
43 69 8
43 71 5
43 75 5
43 81 6
43 83 4
43 86 7
43 97 9
43 99 11
49 54 6
49 55 5
49 57 3
49 59 1
49 60 11
49 62 9
49 64 7
49 68 3
49 69 2
49 71 11
49 75 7
49 81 12
49 83 10
49 86 7
49 97 7
49 99 5
54 55 1
54 57 3
54 59 5
54 60 5
54 62 3
54 64 1
54 68 5
54 69 6
54 71 5
54 75 3
54 81 6
54 83 4
54 86 5
54 97 7
54 99 9
55 57 2
55 59 4
55 60 6
55 62 4
55 64 2
55 68 4
55 69 5
55 71 6
55 75 2
