30 5
3 4 1
3 8 5
3 14 2
3 20 5
3 24 3
3 26 5
3 27 6
3 28 7
3 29 8
3 35 5
3 45 6
3 51 7
3 53 5
3 59 11
3 60 9
3 62 7
3 63 6
3 73 7
3 75 9
3 76 10
3 77 11
3 78 12
3 79 13
3 80 11
3 81 10
3 88 13
3 89 14
3 94 10
3 99 15
4 8 4
4 14 1
4 20 6
4 24 2
4 26 4
4 27 5
4 28 6
4 29 7
4 35 4
4 45 5
4 51 8
4 53 6
4 59 10
4 60 10
4 62 8
4 63 7
4 73 8
4 75 8
4 76 9
4 77 10
4 78 11
4 79 12
4 80 12
4 81 11
4 88 12
4 89 13
4 94 9
4 99 14
8 14 5
8 20 10
8 24 6
8 26 4
8 27 3
8 28 2
8 29 3
8 35 6
8 45 7
8 51 12
8 53 10
8 59 6
8 60 14
8 62 12
8 63 11
8 73 12
8 75 10
8 76 9
8 77 8
8 78 7
8 79 8
8 80 16
8 81 15
8 88 8
8 89 9
8 94 13
8 99 10
14 20 5
14 24 1
14 26 3
14 27 4
14 28 5
14 29 6
14 35 3
14 45 4
14 51 7
14 53 5
14 59 9
14 60 9
14 62 7
14 63 6
14 73 7
14 75 7
14 76 8
14 77 9
14 78 10
14 79 11
14 80 11
14 81 10
14 88 11
14 89 12
14 94 8
14 99 13
20 24 4
20 26 6
20 27 7
20 28 8
20 29 9
20 35 6
20 45 7
20 51 4
20 53 6
20 59 12
20 60 4
20 62 6
20 63 7
20 73 8
20 75 10
20 76 11
20 77 12
20 78 13
20 79 14
20 80 6
20 81 7
20 88 14
20 89 15
20 94 11
20 99 16
24 26 2
24 27 3
24 28 4
24 29 5
24 35 2
24 45 3
24 51 6
24 53 4
24 59 8
24 60 8
24 62 6
24 63 5
24 73 6
24 75 6
24 76 7
24 77 8
24 78 9
24 79 10
24 80 10
24 81 9
24 88 10
24 89 11
24 94 7
24 99 12
26 27 1
26 28 2
26 29 3
26 35 2
26 45 3
26 51 8
26 53 6
26 59 6
26 60 10
26 62 8
26 63 7
26 73 8
26 75 6
26 76 5
26 77 6
26 78 7
26 79 8
26 80 12
26 81 11
26 88 8
26 89 9
26 94 9
26 99 10
27 28 1
27 29 2
27 35 3
27 45 4
27 51 9
27 53 7
27 59 5
27 60 11
27 62 9
27 63 8
27 73 9
27 75 7
27 76 6
27 77 5
27 78 6
27 79 7
27 80 13
27 81 12
27 88 7
27 89 8
27 94 10
27 99 9
28 29 1
28 35 4
28 45 5
28 51 10
28 53 8
28 59 4
28 60 12
28 62 10
28 63 9
28 73 10
28 75 8
28 76 7
28 77 6
28 78 5
28 79 6
28 80 14
28 81 13
28 88 6
28 89 7
28 94 11
28 99 8
29 35 5
29 45 6
29 51 11
29 53 9
29 59 3
29 60 13
29 62 11
29 63 10
29 73 11
29 75 9
29 76 8
29 77 7
29 78 6
29 79 5
29 80 15
29 81 14
29 88 7
29 89 6
29 94 12
29 99 7
35 45 1
35 51 6
35 53 4
35 59 6
35 60 8
35 62 6
35 63 5
35 73 6
35 75 4
35 76 5
35 77 6
35 78 7
35 79 8
35 80 10
35 81 9
35 88 8
35 89 9
35 94 7
35 99 10
45 51 5
45 53 3
45 59 5
45 60 7
45 62 5
45 63 4
45 73 5
45 75 3
45 76 4
45 77 5
45 78 6
45 79 7
45 80 9
45 81 8
45 88 7
45 89 8
45 94 6
45 99 9
51 53 2
51 59 8
51 60 2
51 62 2
51 63 3
51 73 4
51 75 6
51 76 7
51 77 8
51 78 9
51 79 10
51 80 4
51 81 3
51 88 10
51 89 11
51 94 7
51 99 12
53 59 6
53 60 4
53 62 2
53 63 1
53 73 2
53 75 4
53 76 5
53 77 6
53 78 7
53 79 8
53 80 6
53 81 5
53 88 8
53 89 9
53 94 5
53 99 10
59 60 10
59 62 8
59 63 7
59 73 8
59 75 6
59 76 5
59 77 4
59 78 3
59 79 2
59 80 12
59 81 11
59 88 4
59 89 3
59 94 9
59 99 4
60 62 2
60 63 3
60 73 4
60 75 6
60 76 7
60 77 8
60 78 9
60 79 10
60 80 2
60 81 3
60 88 10
60 89 11
60 94 7
60 99 12
62 63 1
62 73 2
62 75 4
62 76 5
62 77 6
62 78 7
62 79 8
62 80 4
62 81 3
62 88 8
62 89 9
62 94 5
62 99 10
63 73 1
63 75 3
63 76 4
63 77 5
63 78 6
63 79 7
63 80 5
63 81 4
63 88 7
63 89 8
63 94 4
63 99 9
73 75 2
73 76 3
73 77 4
73 78 5
73 79 6
73 80 4
73 81 3
73 88 6
73 89 7
73 94 3
73 99 8
75 76 1
75 77 2
75 78 3
75 79 4
75 80 6
75 81 5
75 88 4
75 89 5
75 94 3
75 99 6
76 77 1
76 78 2
76 79 3
76 80 7
76 81 6
76 88 3
76 89 4
76 94 4
76 99 5
77 78 1
77 79 2
77 80 8
77 81 7
77 88 2
77 89 3
77 94 5
77 99 4
78 79 1
78 80 9
78 81 8
78 88 1
78 89 2
78 94 6
78 99 3
79 80 10
79 81 9
79 88 2
79 89 1
79 94 7
79 99 2
80 81 1
80 88 8
80 89 9
80 94 5
80 99 10
81 88 7
81 89 8
81 94 4
81 99 9
88 89 1
88 94 5
88 99 2
89 94 6
89 99 1
94 99 5
0 1 0
0 2 1
0 3 0
0 4 1
1 2 4
1 3 1
1 4 0
2 3 0
2 4 3
3 4 4
