30 5
2 5 3
2 10 3
2 18 7
2 23 3
2 26 6
2 28 8
2 30 5
2 33 4
2 35 6
2 37 8
2 40 6
2 44 6
2 48 10
2 52 5
2 58 11
2 61 7
2 62 6
2 65 9
2 68 12
2 73 8
2 75 10
2 77 12
2 82 8
2 85 11
2 88 14
2 89 15
2 91 10
2 93 10
2 98 15
5 10 6
5 18 4
5 23 4
5 26 3
5 28 5
5 30 8
5 33 5
5 35 3
5 37 5
5 40 9
5 44 5
5 48 7
5 52 8
5 58 8
5 61 10
5 62 9
5 65 6
5 68 9
5 73 9
5 75 7
5 77 9
5 82 11
5 85 8
5 88 11
5 89 12
5 91 13
5 93 11
5 98 12
10 18 8
10 23 4
10 26 7
10 28 9
10 30 2
10 33 5
10 35 7
10 37 9
10 40 3
10 44 7
10 48 11
10 52 6
10 58 12
10 61 6
10 62 7
10 65 10
10 68 13
10 73 9
10 75 11
10 77 13
10 82 9
10 85 12
10 88 15
10 89 16
10 91 9
10 93 11
10 98 16
18 23 6
18 26 3
18 28 1
18 30 10
18 33 7
18 35 5
18 37 3
18 40 11
18 44 7
18 48 3
18 52 10
18 58 4
18 61 12
18 62 11
18 65 8
18 68 5
18 73 11
18 75 9
18 77 7
18 82 13
18 85 10
18 88 7
18 89 8
18 91 15
18 93 13
18 98 8
23 26 3
23 28 5
23 30 4
23 33 1
23 35 3
23 37 5
23 40 5
23 44 3
23 48 7
23 52 4
23 58 8
23 61 6
23 62 5
23 65 6
23 68 9
23 73 5
23 75 7
23 77 9
23 82 7
23 85 8
23 88 11
23 89 12
23 91 9
23 93 7
23 98 12
26 28 2
26 30 7
26 33 4
26 35 2
26 37 2
26 40 8
26 44 4
26 48 4
26 52 7
26 58 5
26 61 9
26 62 8
26 65 5
26 68 6
26 73 8
26 75 6
26 77 6
26 82 10
26 85 7
26 88 8
26 89 9
26 91 12
26 93 10
26 98 9
28 30 9
28 33 6
28 35 4
28 37 2
28 40 10
28 44 6
28 48 2
28 52 9
28 58 3
28 61 11
28 62 10
28 65 7
28 68 4
28 73 10
28 75 8
28 77 6
28 82 12
28 85 9
28 88 6
28 89 7
28 91 14
28 93 12
28 98 7
30 33 3
30 35 5
30 37 7
30 40 1
30 44 5
30 48 9
30 52 4
30 58 10
30 61 4
30 62 5
30 65 8
30 68 11
30 73 7
30 75 9
30 77 11
30 82 7
30 85 10
30 88 13
30 89 14
30 91 7
30 93 9
30 98 14
33 35 2
33 37 4
33 40 4
33 44 2
33 48 6
33 52 3
33 58 7
33 61 5
33 62 4
33 65 5
33 68 8
33 73 4
33 75 6
33 77 8
33 82 6
33 85 7
33 88 10
33 89 11
33 91 8
33 93 6
33 98 11
35 37 2
35 40 6
35 44 2
35 48 4
35 52 5
35 58 5
35 61 7
35 62 6
35 65 3
35 68 6
35 73 6
35 75 4
35 77 6
35 82 8
35 85 5
35 88 8
35 89 9
35 91 10
35 93 8
35 98 9
37 40 8
37 44 4
37 48 2
37 52 7
37 58 3
37 61 9
37 62 8
37 65 5
37 68 4
37 73 8
37 75 6
37 77 4
37 82 10
37 85 7
37 88 6
37 89 7
37 91 12
37 93 10
37 98 7
40 44 4
40 48 8
40 52 3
40 58 9
40 61 3
40 62 4
40 65 7
40 68 10
40 73 6
40 75 8
40 77 10
40 82 6
40 85 9
40 88 12
40 89 13
40 91 6
40 93 8
40 98 13
44 48 4
44 52 3
44 58 5
44 61 5
44 62 4
44 65 3
44 68 6
44 73 4
44 75 4
44 77 6
44 82 6
44 85 5
44 88 8
44 89 9
44 91 8
44 93 6
44 98 9
48 52 7
48 58 1
48 61 9
48 62 8
48 65 5
48 68 2
48 73 8
48 75 6
48 77 4
48 82 10
48 85 7
48 88 4
48 89 5
48 91 12
48 93 10
48 98 5
52 58 6
52 61 2
52 62 1
52 65 4
52 68 7
52 73 3
52 75 5
52 77 7
52 82 3
52 85 6
52 88 9
52 89 10
52 91 5
52 93 5
52 98 10
58 61 8
58 62 7
58 65 4
58 68 1
58 73 7
58 75 5
58 77 3
58 82 9
58 85 6
58 88 3
58 89 4
58 91 11
58 93 9
58 98 4
61 62 1
61 65 4
61 68 7
61 73 3
61 75 5
61 77 7
61 82 3
61 85 6
61 88 9
61 89 10
61 91 3
61 93 5
61 98 10
62 65 3
62 68 6
62 73 2
62 75 4
62 77 6
62 82 2
62 85 5
62 88 8
62 89 9
62 91 4
62 93 4
62 98 9
65 68 3
65 73 3
65 75 1
65 77 3
65 82 5
65 85 2
65 88 5
65 89 6
65 91 7
65 93 5
65 98 6
68 73 6
68 75 4
68 77 2
68 82 8
68 85 5
68 88 2
68 89 3
68 91 10
68 93 8
68 98 3
73 75 2
73 77 4
73 82 2
73 85 3
73 88 6
73 89 7
73 91 4
73 93 2
73 98 7
75 77 2
75 82 4
75 85 1
75 88 4
75 89 5
75 91 6
75 93 4
75 98 5
77 82 6
77 85 3
77 88 2
77 89 3
77 91 8
77 93 6
77 98 3
82 85 3
82 88 6
82 89 7
82 91 2
82 93 2
82 98 7
85 88 3
85 89 4
85 91 5
85 93 3
85 98 4
88 89 1
88 91 8
88 93 6
88 98 1
89 91 9
89 93 7
89 98 2
91 93 2
91 98 7
93 98 5
0 1 4
0 2 3
0 3 1
0 4 2
1 2 0
1 3 2
1 4 0
2 3 1
2 4 1
3 4 4
