30 5
7 11 7
7 19 3
7 20 9
7 21 8
7 24 5
7 27 2
7 29 4
7 30 10
7 32 8
7 35 5
7 42 9
7 43 8
7 46 5
7 50 12
7 52 10
7 55 7
7 57 5
7 61 12
7 69 8
7 70 14
7 77 7
7 80 15
7 82 13
7 87 8
7 89 10
7 91 15
7 92 14
7 93 13
7 99 11
11 19 8
11 20 2
11 21 1
11 24 4
11 27 7
11 29 9
11 30 3
11 32 3
11 35 6
11 42 4
11 43 5
11 46 8
11 50 5
11 52 5
11 55 8
11 57 10
11 61 5
11 69 13
11 70 7
11 77 12
11 80 8
11 82 8
11 87 13
11 89 15
11 91 8
11 92 9
11 93 10
11 99 16
19 20 10
19 21 9
19 24 6
19 27 3
19 29 1
19 30 11
19 32 9
19 35 6
19 42 10
19 43 9
19 46 6
19 50 13
19 52 11
19 55 8
19 57 6
19 61 13
19 69 5
19 70 15
19 77 8
19 80 16
19 82 14
19 87 9
19 89 7
19 91 16
19 92 15
19 93 14
19 99 8
20 21 1
20 24 4
20 27 7
20 29 9
20 30 1
20 32 3
20 35 6
20 42 4
20 43 5
20 46 8
20 50 3
20 52 5
20 55 8
20 57 10
20 61 5
20 69 13
20 70 5
20 77 12
20 80 6
20 82 8
20 87 13
20 89 15
20 91 8
20 92 9
20 93 10
20 99 16
21 24 3
21 27 6
21 29 8
21 30 2
21 32 2
21 35 5
21 42 3
21 43 4
21 46 7
21 50 4
21 52 4
21 55 7
21 57 9
21 61 4
21 69 12
21 70 6
21 77 11
21 80 7
21 82 7
21 87 12
21 89 14
21 91 7
21 92 8
21 93 9
21 99 15
24 27 3
24 29 5
24 30 5
24 32 3
24 35 2
24 42 4
24 43 3
24 46 4
24 50 7
24 52 5
24 55 4
24 57 6
24 61 7
24 69 9
24 70 9
24 77 8
24 80 10
24 82 8
24 87 9
24 89 11
24 91 10
24 92 9
24 93 8
24 99 12
27 29 2
27 30 8
27 32 6
27 35 3
27 42 7
27 43 6
27 46 3
27 50 10
27 52 8
27 55 5
27 57 3
27 61 10
27 69 6
27 70 12
27 77 5
27 80 13
27 82 11
27 87 6
27 89 8
27 91 13
27 92 12
27 93 11
27 99 9
29 30 10
29 32 8
29 35 5
29 42 9
29 43 8
29 46 5
29 50 12
29 52 10
29 55 7
29 57 5
29 61 12
29 69 4
29 70 14
29 77 7
29 80 15
29 82 13
29 87 8
29 89 6
29 91 15
29 92 14
29 93 13
29 99 7
30 32 2
30 35 5
30 42 3
30 43 4
30 46 7
30 50 2
30 52 4
30 55 7
30 57 9
30 61 4
30 69 12
30 70 4
30 77 11
30 80 5
30 82 7
30 87 12
30 89 14
30 91 7
30 92 8
30 93 9
30 99 15
32 35 3
32 42 1
32 43 2
32 46 5
32 50 4
32 52 2
32 55 5
32 57 7
32 61 4
32 69 10
32 70 6
32 77 9
32 80 7
32 82 5
32 87 10
32 89 12
32 91 7
32 92 6
32 93 7
32 99 13
35 42 4
35 43 3
35 46 2
35 50 7
35 52 5
35 55 2
35 57 4
35 61 7
35 69 7
35 70 9
35 77 6
35 80 10
35 82 8
35 87 7
35 89 9
35 91 10
35 92 9
35 93 8
35 99 10
42 43 1
42 46 4
42 50 3
42 52 1
42 55 4
42 57 6
42 61 3
42 69 9
42 70 5
42 77 8
42 80 6
42 82 4
42 87 9
42 89 11
42 91 6
42 92 5
42 93 6
42 99 12
43 46 3
43 50 4
43 52 2
43 55 3
43 57 5
43 61 4
43 69 8
43 70 6
43 77 7
43 80 7
43 82 5
43 87 8
43 89 10
43 91 7
43 92 6
43 93 5
43 99 11
46 50 7
46 52 5
46 55 2
46 57 2
46 61 7
46 69 5
46 70 9
46 77 4
46 80 10
46 82 8
46 87 5
46 89 7
46 91 10
46 92 9
46 93 8
46 99 8
50 52 2
50 55 5
50 57 7
50 61 2
50 69 10
50 70 2
50 77 9
50 80 3
50 82 5
50 87 10
50 89 12
50 91 5
50 92 6
50 93 7
50 99 13
52 55 3
52 57 5
52 61 2
52 69 8
52 70 4
52 77 7
52 80 5
52 82 3
52 87 8
52 89 10
52 91 5
52 92 4
52 93 5
52 99 11
55 57 2
55 61 5
55 69 5
55 70 7
55 77 4
55 80 8
55 82 6
55 87 5
55 89 7
55 91 8
55 92 7
55 93 6
55 99 8
57 61 7
57 69 3
57 70 9
57 77 2
57 80 10
57 82 8
57 87 3
57 89 5
57 91 10
57 92 9
57 93 8
57 99 6
61 69 8
61 70 2
61 77 7
61 80 3
61 82 3
61 87 8
61 89 10
61 91 3
61 92 4
61 93 5
61 99 11
69 70 10
69 77 3
69 80 11
69 82 9
69 87 4
69 89 2
69 91 11
69 92 10
69 93 9
69 99 3
70 77 7
70 80 1
70 82 3
70 87 8
70 89 10
70 91 3
70 92 4
70 93 5
70 99 11
77 80 8
77 82 6
77 87 1
77 89 3
77 91 8
77 92 7
77 93 6
77 99 4
80 82 2
80 87 7
80 89 9
80 91 2
80 92 3
80 93 4
80 99 10
82 87 5
82 89 7
82 91 2
82 92 1
82 93 2
82 99 8
87 89 2
87 91 7
87 92 6
87 93 5
87 99 3
89 91 9
89 92 8
89 93 7
89 99 1
91 92 1
91 93 2
91 99 8
92 93 1
92 99 7
93 99 6
0 1 1
0 2 2
0 3 3
0 4 4
1 2 3
1 3 2
1 4 0
2 3 1
2 4 1
3 4 3
