100 10
0 1 704.48
0 2 778.79
0 3 498.30
0 4 161.76
0 5 770.42
0 6 515.43
0 7 276.30
0 8 312.66
0 9 684.07
0 10 459.75
0 11 436.06
0 12 34.75
0 13 691.71
0 14 71.54
0 15 446.03
0 16 572.47
0 17 893.57
0 18 520.10
0 19 935.09
0 20 896.00
0 21 296.51
0 22 987.35
0 23 364.93
0 24 891.58
0 25 862.22
0 26 548.01
0 27 866.03
0 28 321.18
0 29 159.11
0 30 972.62
0 31 686.30
0 32 727.65
0 33 436.68
0 34 145.69
0 35 883.55
0 36 894.81
0 37 673.71
0 38 992.35
0 39 414.63
0 40 443.90
0 41 601.78
0 42 716.06
0 43 440.71
0 44 475.37
0 45 258.32
0 46 81.34
0 47 681.06
0 48 426.98
0 49 19.16
0 50 499.95
0 51 733.89
0 52 235.95
0 53 52.46
0 54 941.99
0 55 138.90
0 56 400.00
0 57 392.31
0 58 586.76
0 59 403.47
0 60 405.27
0 61 454.02
0 62 659.23
0 63 994.43
0 64 33.93
0 65 139.40
0 66 457.62
0 67 456.75
0 68 365.09
0 69 783.28
0 70 623.04
0 71 452.41
0 72 539.61
0 73 86.09
0 74 643.98
0 75 940.37
0 76 361.73
0 77 531.21
0 78 838.13
0 79 391.86
0 80 905.19
0 81 305.24
0 82 80.93
0 83 521.51
0 84 532.71
0 85 667.16
0 86 863.67
0 87 267.48
0 88 217.26
0 89 439.78
0 90 845.54
0 91 174.87
0 92 257.91
0 93 538.91
0 94 611.10
0 95 874.90
0 96 186.39
0 97 359.56
0 98 754.96
0 99 71.42
1 2 600.75
1 3 903.75
1 4 102.34
1 5 89.57
1 6 55.70
1 7 395.89
1 8 652.68
1 9 769.63
1 10 85.34
1 11 13.76
1 12 756.57
1 13 12.76
1 14 14.03
1 15 788.66
1 16 313.91
1 17 555.24
1 18 488.50
1 19 586.65
1 20 256.03
1 21 607.82
1 22 867.33
1 23 366.07
1 24 241.99
1 25 719.09
1 26 580.70
1 27 145.86
1 28 672.52
1 29 557.01
1 30 360.36
1 31 165.61
1 32 347.61
1 33 171.69
1 34 53.57
1 35 450.95
